DateTime,PlayersCount
4/6/2006 17:00,2014
4/6/2006 18:00,1718
4/6/2006 19:00,1960
4/6/2006 20:00,2608
4/6/2006 21:00,2840
4/6/2006 22:00,2875
4/6/2006 23:00,2663
4/16/2006 0:00,3682
4/16/2006 1:00,4122
4/16/2006 2:00,3292
4/16/2006 3:00,2268
4/16/2006 4:00,1460
4/16/2006 5:00,1034
4/16/2006 6:00,990
4/16/2006 7:00,1000
4/16/2006 8:00,1228
4/16/2006 9:00,1528
4/16/2006 10:00,2664
4/16/2006 11:00,3480
4/16/2006 12:00,3868
4/16/2006 13:00,4232
4/16/2006 14:00,4570
4/16/2006 15:00,5058
4/16/2006 16:00,5186
4/16/2006 17:00,4972
4/16/2006 18:00,4544
4/16/2006 19:00,4604
4/16/2006 20:00,5342
4/16/2006 21:00,5838
4/16/2006 22:00,5072
4/16/2006 23:00,5534
4/23/2006 11:00,1582
4/23/2006 12:00,3610
4/23/2006 13:00,4008
4/23/2006 14:00,4452
4/23/2006 15:00,4614
4/23/2006 16:00,3862
4/23/2006 17:00,4334
4/23/2006 18:00,3806
4/23/2006 19:00,4114
4/23/2006 20:00,5120
4/23/2006 21:00,5676
4/23/2006 22:00,6042
4/23/2006 23:00,5672
4/30/2006 0:00,5306
4/30/2006 1:00,4264
4/30/2006 2:00,3292
4/30/2006 3:00,2216
4/30/2006 4:00,1602
4/30/2006 5:00,1160
4/30/2006 6:00,924
4/30/2006 7:00,922
4/30/2006 8:00,1042
4/30/2006 9:00,1784
4/30/2006 10:00,1990
4/30/2006 11:00,2824
4/30/2006 12:00,3282
4/30/2006 13:00,3960
4/30/2006 14:00,4416
4/30/2006 15:00,4562
4/30/2006 16:00,4404
4/30/2006 17:00,4468
4/30/2006 18:00,3820
4/30/2006 19:00,3940
4/30/2006 20:00,3860
4/30/2006 21:00,5268
4/30/2006 22:00,5636
4/30/2006 23:00,5532
5/2/2006 0:00,6152
5/2/2006 1:00,5526
5/2/2006 2:00,4466
5/2/2006 3:00,3208
5/2/2006 4:00,1072
5/2/2006 5:00,1266
5/2/2006 6:00,1122
5/2/2006 7:00,1120
5/2/2006 8:00,1364
5/2/2006 9:00,1866
5/2/2006 10:00,2626
5/2/2006 11:00,2858
5/2/2006 12:00,3700
5/2/2006 13:00,4200
5/2/2006 14:00,4728
5/2/2006 15:00,5052
5/2/2006 16:00,5238
5/2/2006 17:00,5086
5/2/2006 18:00,4460
5/2/2006 19:00,4858
5/2/2006 20:00,5582
5/2/2006 21:00,6206
5/2/2006 22:00,6434
5/2/2006 23:00,6022
5/3/2006 0:00,5980
5/3/2006 1:00,5270
5/3/2006 2:00,4060
5/3/2006 3:00,2820
5/3/2006 4:00,1916
5/3/2006 5:00,1364
5/3/2006 6:00,1092
5/3/2006 7:00,1112
5/3/2006 8:00,1330
5/3/2006 9:00,2010
5/3/2006 10:00,2722
5/3/2006 11:00,3402
5/3/2006 12:00,3624
5/3/2006 13:00,4302
5/3/2006 14:00,4132
5/3/2006 15:00,3354
5/3/2006 16:00,4922
5/3/2006 17:00,4110
5/3/2006 18:00,4192
5/3/2006 19:00,3518
5/3/2006 20:00,5052
5/3/2006 21:00,5790
5/3/2006 22:00,6160
5/3/2006 23:00,6130
5/11/2006 0:00,2340
5/11/2006 1:00,1779
5/11/2006 2:00,1652
5/11/2006 3:00,1104
5/11/2006 4:00,359
5/11/2006 5:00,439
5/11/2006 6:00,403
5/11/2006 7:00,564
5/11/2006 8:00,846
5/11/2006 9:00,1284
5/11/2006 10:00,1739
5/11/2006 11:00,2146
5/11/2006 12:00,2238
5/11/2006 13:00,2359
5/11/2006 14:00,2551
5/11/2006 15:00,2572
5/11/2006 16:00,2572
5/11/2006 17:00,2530
5/11/2006 18:00,2338
5/11/2006 19:00,2771
5/11/2006 20:00,3140
5/11/2006 21:00,3368
5/11/2006 22:00,3509
5/11/2006 23:00,3335
5/14/2006 0:00,2677
5/14/2006 1:00,2295
5/14/2006 2:00,1729
5/14/2006 3:00,1144
5/14/2006 4:00,740
5/14/2006 5:00,522
5/14/2006 6:00,446
5/14/2006 7:00,465
5/14/2006 8:00,692
5/14/2006 9:00,1031
5/14/2006 10:00,1363
5/14/2006 11:00,1565
5/14/2006 12:00,1626
5/14/2006 13:00,1751
5/14/2006 14:00,1964
5/14/2006 15:00,2191
5/14/2006 16:00,2213
5/14/2006 17:00,2107
5/14/2006 18:00,1815
5/14/2006 19:00,1532
5/14/2006 20:00,2230
5/14/2006 21:00,2640
5/14/2006 22:00,2285
5/14/2006 23:00,2583
5/21/2006 0:00,2170
5/21/2006 1:00,2133
5/21/2006 2:00,1598
5/21/2006 3:00,1063
5/21/2006 4:00,644
5/21/2006 5:00,461
5/21/2006 6:00,419
5/21/2006 7:00,426
5/21/2006 8:00,569
5/21/2006 9:00,843
5/21/2006 10:00,1164
5/21/2006 11:00,1494
5/21/2006 12:00,1379
5/21/2006 13:00,1897
5/21/2006 14:00,2054
5/21/2006 15:00,2176
5/21/2006 16:00,2182
5/21/2006 17:00,2033
5/21/2006 18:00,1780
5/21/2006 19:00,1837
5/21/2006 20:00,2316
5/21/2006 21:00,2626
5/21/2006 22:00,2748
5/21/2006 23:00,2674
5/28/2006 0:00,2334
5/28/2006 1:00,1842
5/28/2006 2:00,1430
5/28/2006 3:00,912
5/28/2006 4:00,598
5/28/2006 5:00,421
5/28/2006 6:00,398
5/28/2006 7:00,470
5/28/2006 8:00,634
5/28/2006 9:00,794
5/28/2006 10:00,1300
5/28/2006 11:00,1517
5/28/2006 12:00,1369
5/28/2006 13:00,1829
5/28/2006 14:00,1682
5/28/2006 15:00,2070
5/28/2006 16:00,2094
5/28/2006 17:00,2086
5/28/2006 18:00,1870
5/28/2006 19:00,2120
5/28/2006 20:00,2554
5/28/2006 21:00,2823
5/28/2006 22:00,2788
5/28/2006 23:00,2577
6/8/2006 0:00,2320
6/8/2006 1:00,1333
6/8/2006 2:00,1452
6/8/2006 3:00,1022
6/8/2006 4:00,642
6/8/2006 5:00,355
6/8/2006 6:00,238
6/8/2006 7:00,382
6/8/2006 8:00,471
6/8/2006 9:00,663
6/8/2006 10:00,921
6/8/2006 11:00,1141
6/8/2006 12:00,1171
6/8/2006 13:00,1358
6/8/2006 14:00,1622
6/8/2006 15:00,1738
6/8/2006 16:00,1469
6/8/2006 17:00,1662
6/8/2006 18:00,1382
6/8/2006 19:00,1237
6/8/2006 20:00,1802
6/8/2006 21:00,2171
6/8/2006 22:00,2217
6/8/2006 23:00,2150
6/18/2006 0:00,2273
6/18/2006 1:00,1752
6/18/2006 2:00,1334
6/18/2006 3:00,690
6/18/2006 4:00,576
6/18/2006 5:00,380
6/18/2006 6:00,317
6/18/2006 7:00,379
6/18/2006 8:00,467
6/18/2006 9:00,719
6/18/2006 10:00,1063
6/18/2006 11:00,1272
6/18/2006 12:00,1449
6/18/2006 13:00,1627
6/18/2006 14:00,1774
6/18/2006 15:00,1656
6/18/2006 16:00,1998
6/18/2006 17:00,1879
6/18/2006 18:00,1460
6/18/2006 19:00,1742
6/18/2006 20:00,2180
6/18/2006 21:00,2318
6/18/2006 22:00,2362
6/18/2006 23:00,2217
6/25/2006 0:00,2281
6/25/2006 1:00,1876
6/25/2006 2:00,1425
6/25/2006 3:00,911
6/25/2006 4:00,490
6/25/2006 5:00,370
6/25/2006 6:00,375
6/25/2006 7:00,407
6/25/2006 8:00,576
6/25/2006 9:00,803
6/25/2006 10:00,1128
6/25/2006 11:00,1399
6/25/2006 12:00,1460
6/25/2006 13:00,1671
6/25/2006 14:00,1907
6/25/2006 15:00,2055
6/25/2006 16:00,2104
6/25/2006 17:00,1962
6/25/2006 18:00,1751
6/25/2006 19:00,1789
6/25/2006 20:00,2067
6/25/2006 21:00,2408
6/25/2006 22:00,2505
6/25/2006 23:00,2374
7/5/2006 0:00,4808
7/5/2006 1:00,4018
7/5/2006 2:00,3066
7/5/2006 3:00,2114
7/5/2006 4:00,1410
7/5/2006 5:00,808
7/5/2006 6:00,770
7/5/2006 7:00,738
7/5/2006 8:00,1072
7/5/2006 9:00,1686
7/5/2006 10:00,2568
7/5/2006 11:00,3106
7/5/2006 12:00,3236
7/5/2006 13:00,3850
7/5/2006 14:00,4186
7/5/2006 15:00,4540
